str_1164|Dummy first line
str_id_3813|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3814|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3815|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3816|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3817|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3818|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3819|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3820|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3821|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3822|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3823|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3824|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3825|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3826|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3827|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3828|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3829|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3830|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3831|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3832|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3833|能 为 你 治 理 {s17}，将 是 我 的 荣 幸。
str_id_3834|你 是 个 好 朋 友 {playername}，我 将 为 你 照 看 {s17}。
str_id_3852|别 因 国 王 会 不 会 把 封 地 赐 给 女 人 而 忧 心。只 要 够 聪 明，迟 早 能 得 到 自 己 想 要 的 一 切—— 关 键 是 别 被 那 些 陈 规 困 住。
str_id_3853|队 长—— 恕 我 直 言，你 已 在 这 一 带 闯 出 了 不 小 的 名 声。若 你 是 男 人，恐 怕 早 有 国 王 赐 你 封 地 了。可 外 来 的 女 人 就 得 习 惯 这 种 事；男 人 总 能 找 到 借 口，不 肯 给 我 们 应 得 的 奖 赏。
str_id_3858|{playername}。我 想 向 你 表 示 祝 贺，看 来 你 已 经 在 为 自 己 挣 得 了 名 声，成 为 了 一 个 值 得 畏 惧 的 战 士。如 果 你 是 个 男 人，我 怀 疑 这 片 土 地 的 国 王 会 争 先 恐 后 地 让 你 成 为 他 们 的 附 庸。唉，在 这 个 世 界 上，像 我 们 这 样 的 女 人 必 须 付 出 两 倍 的 努 力 才 能 获 得 认 可。
str_id_3924|我 为 挑 战 强 敌 而 来，却 只 遇 上 您。我 会 斩 下 您 的 头 颅，再 去 寻 找 真 正 的 对 手。
str_id_3925|真 是 悲 伤 之 日。从 未 想 过 会 与 旧 主 战 场 相 逢。即 便 获 胜，也 毫 无 喜 悦。
str_id_3926|噢，{playername}，我 们 的 命 运 竟 走 到 如 此 悲 惨 的 一 步！我 只 能 希 望，让 我 们 成 为 敌 人 的 战 争 变 故，有 朝 一 日 也 能 让 我 们 重 新 成 为 朋 友。
str_id_3927|凭 约 克 和 摩 克 之 名……我 真 不 知 该 说 什 么。若 必 须 战 斗，那 就 速 战 速 决。
str_id_3928|{playername}，你 更 擅 长 正 面 作 战 和 统 领 军 队，而 我 已 经 见 识 过 你 的 做 法。也 许 今 天 结 束 时，我 会 从 你 的 国 库 拿 到 一 笔 丰 厚 赎 金。来 战 吧！
str_id_3929|以 这 种 方 式 与 你 相 见，{playername}，让 我 无 比 愤 怒。我 不 想 再 追 究 是 什 么 把 我 们 推 到 这 一 步，只 能 说 我 曾 信 任 你，而 这 份 信 任 没 有 得 到 回 报。
str_id_3930|我 太 多 回 在 战 场 上 碰 到 前 雇 主 了，别 往 心 里 去。这 只 是 生 意。
str_id_3931|战 场 上 见，伙 计，看 好 你 的 钱 袋 子。
str_id_3932|我 敬 重 你 的 力 量 和 勇 气。一 旦 我 击 败 你 并 夺 取 战 利 品，世 界 将 再 次 传 颂 我 的 事 迹。
str_id_3933|我 料 想 你 会 是 我 最 难 缠 的 对 手，然 后 我 料 想 你 死。如 果 你 敢，就 与 我 单 挑，我 会 找 你 的。
str_id_3934|我 们 既 已 来 到 纳 迦 罗 斯，就 得 时 刻 提 防 黑 暗 精 灵。若 让 他 们 抓 住，死 亡 恐 怕 反 而 是 最 仁 慈 的 结 局。
str_id_3935|呸！
str_id_3936|与 你 为 敌 令 我 悲 伤—— 但 另 一 方 面 你 自 取 其 辱，正 义 理 应 看 我 把 你 铐 走。我 曾 追 随 你 是 我 的 过 错，但 现 在 我 可 以 开 始 弥 补 了。拿 起 武 器。
str_id_3937|唉，{playername}。我 们 兵 戎 相 见。我 承 认 心 情 复 杂。与 你 开 战 让 我 痛 心，但 如 果 在 战 场 上 我 赢 了，我 就 击 败 了 世 界 最 伟 大 的 指 挥 官 之 一，从 而 证 明 我 的 军 事 造 诣 已 登 峰 造 极！
str_id_3938|啊……我 一 直 不 愿 面 对 这 一 天。我 只 想 说，在 我 看 来，如 果 你 当 初 信 任 我，事 情 不 会 到 这 地 步。但 你 肯 定 不 这 么 想。
str_id_3939|你 好，队 长！看 来 我 们 成 敌 人 了！你 肯 定 一 点 都 不 怕，但 你 不 晓 得 我 有 多 厉 害。没 错！只 要 我 打 败 你，就 没 人 敢 说 闲 话 了。受 死 吧！
str_id_3940|看 来 你 也 沦 为 敌 人，跟 其 他 人 一 样。连 你 都 走 上 这 种 自 私 又 光 荣 的 老 路，让 我 失 望 透 顶。速 战 速 决 吧。
str_id_3941|别 费 劲 找 我 决 斗，我 宁 愿 一 枪 崩 了 你 脑 门。哈 哈，战 场 上 留 神 点，我 的 准 星 正 对 着 你 呢。
str_id_3942|弗 罗 林 救 救 我！
str_id_3943|看 来 命 运 让 我 们 敌 对。我 承 认 你 技 高 一 筹，但 我 的 部 队 会 为 我 战 至 最 后，而 且 我 们 以 逸 待 劳，不 像 你 那 群 疲 兵。
str_id_3944|最 近 我 树 敌 众 多，现 在 你 也 加 入 名 单，等 着 承 受 我 的 怒 火。想 想 我 曾 尊 敬 过 你。
str_id_3945|一 如 既 往，局 势 逆 转，曾 经 的 同 袍 必 须 兵 戈 相 向。我 敬 重 你 作 为 指 挥 官，等 你 败 北，我 也 会 尊 重 你 作 为 俘 虏。
str_id_3946|这 一 战 多 半 不 会 有 好 结 果。不 过 管 他 呢—— 反 正 我 也 老 得 不 适 合 再 干 这 行 了。
str_id_3947|我 见 识 过 太 多 世 事，不 会 因 死 亡 而 畏 缩。但 荣 誉 要 求 我 站 在 你 身 边，直 到 最 后 一 刻。
str_id_3948|敌 人 的 战 法 令 人 赞 叹。他 们 训 练 有 素、阵 势 严 整；要 击 败 这 样 的 对 手，我 们 必 须 比 以 往 任 何 时 候 都 更 加 谨 慎。{playername}
str_id_3949|来 吧！我 要 用 这 根 棍 子 把 他 们 的 脊 梁 一 根 根 敲 断！
str_id_3950|我 将 击 败 你！
str_id_3951|昔 日 的 朋 友 如 今 成 了 敌 人，世 事 真 是 无 常。但 既 然 他 们 选 择 挡 在 我 们 面 前，就 别 怪 我 手 下 无 情。{playername}
str_id_3952|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3953|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3954|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3955|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3956|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3957|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3958|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3959|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3960|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3961|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3962|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3963|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3964|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3965|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3966|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3967|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3968|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3969|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3970|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3971|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3972|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3973|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3974|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3975|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3976|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3977|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3978|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3979|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3980|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3981|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3982|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3983|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3984|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3985|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3986|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3987|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3988|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3989|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3990|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3991|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3992|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3993|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3994|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3995|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3996|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3997|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3998|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_3999|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_4000|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_4001|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_4002|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_4003|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_4004|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_4005|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_4006|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_4007|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_4008|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_4009|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_4010|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_4011|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_4012|什 么！我 还 以 为 你 是 个 值 得 信 赖 的 人，{playername}。
str_id_4013|我 听 说 你 效 忠 于 某 个 质 疑 我 王 位 宣 称 的 僭 主。但 我 们 仍 可 谈 谈。{reg33?:}
str_id_4014|你 的 威 名 早 已 先 你 而 至！
str_id_4015|你 的 威 名 早 已 先 你 而 至！
str_id_4016|我 听 说 过 你。我 不 喜 欢 无 用 的 争 执，有 什 么 话 你 就 直 说 吧。
str_id_4017|我 知 道 你 的 名 字，它 让 很 多 人 从 心 里 感 到 害 怕。很 好，或 许 我 们 该 找 个 时 间 好 好 谈 谈。
str_id_4018|啊，是 的。我 们 终 于 见 面 了。你 听 起 来 像 个 值 得 认 识 的 {reg33?女 人 :男 人 }。让 我 们 时 不 时 聊 一 聊 吧。
str_id_4019|我 知 道 你 的 名 字，我 担 保 也 有 很 多 悲 伤 的 寡 妇 知 道 它。不 过 跟 我 没 关 系。
str_id_4020|我 听 说 过 你！今 日 终 于 得 以 相 识，实 在 荣 幸。
str_id_4021|我 听 过 你 的 名 号。人 们 说 你 是 位 勇 冠 三 军 的 战 士；只 盼 你 的 荣 誉 与 仁 慈，也 能 配 得 上 这 份 武 勇。
str_id_4022|我 还 听 说，一 支 打 着 贵 族 旗 帜 的 队 伍 正 在 这 一 带 活 动。想 必 那 就 是 你。
str_id_4023|我 看 到 你 举 着 贵 族 旗 帜，但 我 不 认 识 那 个 纹 章。没 关 系—— 勇 敢 的 {reg33?战 士 :男 人 } 的 家 就 是 全 世 界，或 者 说 大 家 都 这 么 说！{reg33?:}
str_id_4024|我 不 认 得 你 旗 子 上 的 这 个 徽 标。一 定 又 是 个 外 乡 人 到 这 里 来 了，好 像 这 里 还 不 够 多 似 的。
str_id_4025|我 看 你 带 着 面 贵 族 的 旗 子，不 过 我 不 认 得 这 个 徽 标。毫 无 疑 问，又 一 只 秃 鹰 盯 上 了 战 争 的 尸 体。
str_id_4026|我 看 见 你 举 着 一 面 贵 族 旗 帜，但 并 不 认 得 上 面 的 纹 章。不 过，与 将 来 可 能 成 为 伟 大 战 士 的 人 结 交，总 不 会 有 坏 处。
str_id_4027|我 看 到 你 举 着 贵 族 旗 帜，但 我 不 认 识 那 个 纹 章。或 许 你 是 个 自 大 的 偷 牛 贼 的 私 生 {reg33?女 儿 :儿 子 }？或 者 你 偷 来 的？
str_id_4028|我 看 到 你 举 着 贵 族 旗 帜，但 我 不 认 识 那 个 纹 章。请 原 谅 我 的 无 知，{reg33?女 士 :先 生 }！认 识 你 真 好。
str_id_4029|我 看 到 你 举 着 贵 族 旗 帜，但 我 不 认 识 那 个 纹 章。毫 无 疑 问，你 是 来 这 里 寻 找 财 富 和 荣 耀 的。如 果 真 是 这 样，那 我 只 求 你 怜 悯 那 些 在 战 争 路 径 上 受 苦 的 可 怜 人。
str_id_4030|也 许 你 的 出 身 很 平 常。但 你 该 知 道 我 总 在 寻 找 能 为 我 而 战 的 勇 士，如 果 他 们 能 够 证 明 自 己 值 得 我 信 任 的 话。
str_id_4031|或 许 你 不 是 贵 族 出 身，但 即 使 是 个 平 民，只 要 {reg33?她 :他 } 有 足 够 的 勇 气，总 有 一 天 也 能 出 人 头 地。
str_id_4032|又 一 个 想 靠 战 争 发 财 的 无 名 雇 佣 兵。
str_id_4033|又 一 只 赶 来 啄 食 这 片 土 地 苦 难 的 秃 鹫。
str_id_4034|嗯……我 从 没 听 说 过 你，但 看 得 出 来，你 或 许 终 有 一 天 会 闯 出 名 堂。
str_id_4035|对 那 些 不 请 自 来 的，放 肆 无 礼 的 无 名 之 辈，通 常 我 会 直 接 切 开 他 们 的 喉 咙。不 过 大 爷 我 今 天 心 情 不 错。
str_id_4036|嗯，你 看 起 来 蛮 像 一 个 好 人。
str_id_4037|愿 诸 神 护 佑 你—— 只 要 你 的 行 为 配 得 上 他 们 的 庇 佑。
str_id_4038|我 早 已 听 说 过 你 的 事 迹。有 些 {reg65?女 人:男 人} 或 许 会 畏 惧 精 通 战 斗 的 {reg33?女 人:男 人}，但 只 要 此 人 勇 敢 而 忠 诚，我 绝 不 会 拒 绝 一 双 懂 得 挥 剑 的 手。
str_id_4039|我 听 说 过 很 多 你 的 传 闻。他 们 说 你 的 强 悍 甚 至 不 输 给 最 勇 敢 的 男 子。或 许 我 们 该 在 竞 技 场 上，或 者 战 场 上 来 较 量 一 下，看 看 谁 更 勇 猛！
str_id_4040|我 听 说 过 关 于 你 的 谈 论—— 那 个 {reg33?女 人 :男 人 }，知 道 如 何 像 {reg33?男 人 :女 人 } 一 样 战 斗。
str_id_4041|我 知 道 你 的 名 字，它 让 很 多 人 从 心 里 感 到 害 怕。很 好，或 许 我 们 该 找 个 时 间 好 好 谈 谈。
str_id_4042|啊，是 的。我 们 终 于 见 面 了。你 听 起 来 像 个 值 得 认 识 的 {reg33?女 人 :男 人 }。让 我 们 时 不 时 聊 一 聊 吧。
str_id_4043|我 知 道 你 的 名 字，我 担 保 也 有 很 多 悲 伤 的 寡 妇 知 道 它。不 过 跟 我 没 关 系。
str_id_4044|我 听 说 过 你！今 日 终 于 得 以 相 识，实 在 荣 幸。
str_id_4045|我 听 过 你 的 名 号。人 们 说 你 是 位 勇 冠 三 军 的 战 士；只 盼 你 的 荣 誉 与 仁 慈，也 能 配 得 上 这 份 武 勇。
str_id_4046|我 很 少 遇 见 渴 望 率 领 {reg33?女 战 士:男 人} 上 阵 的 {reg33?女 人:男 人}。但 如 今 世 道 黑 暗 动 荡，只 要 此 人 勇 敢 忠 诚，我 不 会 拒 绝 一 双 懂 得 挥 剑 的 手。
str_id_4047|我 不 认 识 你 旗 帜 上 的 纹 章，但 显 然 你 是 个 有 地 位 的 {reg33?女 士 :男 孩 }。请 把 我 当 作 你 最 谦 卑 的 仆 人。
str_id_4048|我 不 认 得 你 旗 子 上 的 这 个 徽 标。一 定 又 是 个 外 乡 人 到 这 里 来 了，带 着 他 们 奇 怪 的 习 惯。
str_id_4049|我 看 到 你 举 着 贵 族 旗 帜，但 我 不 认 识 那 个 纹 章……你 应 该 知 道，{reg33?女 士 :男 孩 }，在 这 里 是 {reg33?男 人 :女 人 } 上 战 场，如 果 你 试 图 颠 覆 事 物 的 自 然 秩 序，你 会 发 现 你 漂 亮 的 脑 袋 插 在 长 矛 上—— 就 像 任 何 其 他 叛 徒 一 样！{reg33?:}
str_id_4050|在 旧 世 界 的 战 场 上 追 寻 {reg33?她:他} 的 财 富，对 {reg33?女 人:男 人} 而 言 并 非 闻 所 未 闻，却 也 不 常 见。我 会 十 分 关 注 你 的 进 展。
str_id_4051|你 看 起 来 有 贵 族 身 份，但 我 不 认 识 你 的 旗 帜。显 然，又 是 另 一 个 外 国 佬 来 到 我 们 的 海 岸—— 毫 无 疑 问 来 自 一 个 {reg33?男 人 :女 人 } 软 弱、而 {reg33?女 人 :男 人 } 代 替 他 们 上 战 场 的 土 地！
str_id_4052|我 看 见 你 打 着 一 位 贵 族 {reg33?女 性:男 性} 的 旗 帜，却 认 不 出 徽 记。请 原 谅 我 的 无 知，{reg33?女 士:小 伙 子}！很 高 兴 认 识 你。
str_id_4053|我 们 不 常 看 到 {reg33?女 人 :男 性 } 全 副 武 装 准 备 战 争。请 别 误 会，{reg33?我 的 女 士 :亲 爱 的 男 孩 }，因 为 你 有 权 保 护 自 己，但 我 不 能 假 装 完 全 接 受 你 上 战 场 的 决 定。我 更 希 望 {reg33?女 人 :男 性 } 不 受 这 些 战 争 影 响，因 为 我 相 信 {reg33?女 性 :男 性 } 是 保 存 我 们 仅 存 温 柔 和 体 贴 的 守 护 者。{reg33?:}
str_id_4054|我 很 少 遇 见 渴 望 率 领 {reg33?战 士/男 人} 上 阵 的 {reg33?女 人:男 人}。但 如 今 世 道 黑 暗 动 荡，只 要 此 人 勇 敢 忠 诚，我 不 会 拒 绝 一 双 懂 得 挥 剑 的 手。
str_id_4055|你 好，{reg33?女 士:小 伙 子}。从 你 的 举 止 看 来，你 绝 非 寻 常 的 {reg33?少 女:少 年}；希 望 你 不 会 拒 绝 最 卑 微 的 仆 人 向 你 表 达 仰 慕。
str_id_4056|嘿。想 想 看—— 一 个 {reg33?少 女 :漂 亮 男 孩 }，全 副 武 装 准 备 战 争。好 吧，这 是 个 奇 怪 的 景 象，但 在 你 的 情 况 下，我 能 想 象 自 己 可 能 会 慢 慢 接 受。
str_id_4057|看 到 {reg33?女 人 :男 孩 } 全 副 武 装 准 备 战 争 很 不 寻 常。小 心 点，{reg33?我 的 女 士 :亲 爱 的 男 孩 }—— 这 是 个 残 酷 的 世 界，看 到 这 样 的 美 丽 被 剑 伤 破 坏 会 是 个 遗 憾。
str_id_4058|你 好，{reg33?女 士:小 伙 子}。请 别 以 为 我 唐 突，但 很 少 见 到 {reg33?女 人:男 孩} 全 副 武 装 准 备 作 战。我 希 望 有 朝 一 日，自 己 也 能 成 为 这 样 勇 敢 而 有 精 神 的 女 儿 的 {reg65?母 亲:父 亲}。
str_id_4059|我 们 这 里 有 什 么！一 个 {reg33?女 人 :漂 亮 男 孩 }，全 副 武 装 准 备 战 争！好 吧，我 敢 说，像 你 这 样 美 丽 的 人 甚 至 能 给 锁 子 甲 增 添 一 丝 {reg33?女 性 气 质 :精 致 }。
str_id_4060|{reg33?我 的 女 士 :亲 爱 的 男 孩 }，如 果 你 在 武 艺 上 像 容 貌 一 样 出 色，那 么 你 的 敌 人 确 实 该 害 怕 你！{reg33?:}
str_id_4061|问 候，{reg33?我 的 女 士 :亲 爱 的 男 孩 }。即 使 你 衣 服 和 装 备 上 沾 满 行 军 的 尘 土，我 也 能 看 出 你 不 乏 你 高 贵 性 别 的 优 雅。
str_id_4062|我 很 少 遇 见 渴 望 率 领 {reg33?战 士:男 人} 上 阵 的 {reg33:女 人:男 人}。但 如 今 世 道 黑 暗 动 荡，只 要 此 人 勇 敢 忠 诚，我 不 会 拒 绝 一 双 懂 得 挥 剑 的 手。
str_id_4063|我 得 提 醒 你，{reg33?亲 爱 的 姑 娘:年 轻 人}—— 在 这 片 危 险 的 土 地 上 骑 行 务 必 小 心。如 果 你 有 一 天 想 过 一 种 更……嗯……安 稳 的 生 活，我 相 信 能 从 我 的 {reg33?部 下:战 士} 中，为 你 找 到 一 位 合 适 的 {reg33?丈 夫:妻 子}。
str_id_4064|顺 便 问 一 句，{reg33?姑 娘:小 子}，你 的 {reg33?丈 夫:情 妇} 知 道 你 弄 坏 了 对 方 的 武 器 和 盔 甲 吗？我 敢 打 赌，你 回 家 后 准 会 挨 一 顿 狠 揍！
str_id_4065|这 真 是 堕 落 的 时 代，连 {reg33?女 人 :男 性 } 都 变 成 强 盗，来 捡 战 争 残 骸 中 的 剩 饭。
str_id_4066|即 使 她 们 很 少，你 也 不 是 第 一 个 来 这 里 在 战 场 上 找 钱 的 女 人。我 将 非 常 感 兴 趣 地 关 注 你 的 进 展。
str_id_4067|一 个 {reg33?女 人 :男 人 }，全 副 武 装 准 备 战 斗！嗯，我 猜 你 {reg33?并 不 比 :也 差 不 多 } 我 手 下 那 些 自 称 战 士 的 人 更 女 性 化。
str_id_4068|从 你 的 样 子 看，我 觉 得 你 能 照 顾 好 自 己，但 在 外 面 要 小 心 点，{reg33?我 的 女 士 :我 的 小 伙 子 }。
str_id_4069|我 们 不 是 每 天 都 能 看 到 一 个 {reg33?女 人 :男 人 } 全 副 武 装 准 备 战 斗 的。请 别 误 会，{reg33?我 的 女 士 :我 的 小 伙 子 }，因 为 你 有 权 保 护 自 己，但 我 不 能 假 装 完 全 赞 同 你 上 战 场 决 定。我 宁 愿 {reg33?女 性 :男 性 } 不 受 这 些 战 争 影 响，因 为 我 相 信 {reg33?女 性 :男 性 } 是 我 们 所 剩 无 几 的 优 雅 和 温 柔 的 守 护 者。{reg33?:}
str_id_4070|我 的 武 器 在 战 场 上 所 向 披 靡。你 敢 和 它 们 比 划 比 划 吗？
str_id_4071|别 管 我 的 国 家 了！这 里，似 乎 狗 带 领 士 兵 去 打 仗。
str_id_4072|而 你，{reg65?女 士 :先 生 }，并 不 比 我 的 马 更 野 蛮。{reg33?:}
str_id_4073|我 会 重 写 这 个 自 然 规 律，所 以 你 现 在 少 说 屁 话。
str_id_4074|当 然，当 堕 落 时 期 来 临，土 匪 都 自 称 为“领 主”。
str_id_4075|也 许 现 在 我 应 该 夺 取 你 的 旗 帜。还 有 你 的 牲 口。以 及 你 的 小 命。
str_id_4076|我 很 乐 意 毁 掉 你 那 {reg65?漂 亮 脸 蛋:英 俊 鼻 梁}，{reg65?女 士:先 生}。
str_id_4077|想 亲 自 尝 尝 我 这 钢 刃 的“温 柔”吗？
str_id_4078|想 亲 自 尝 尝 我 这 钢 刃 的“温 柔”吗？
str_id_4079|我 能 找 到 比 狗 窝 里 那 些 更 配 得 上 的 {reg33?丈 夫 :妻 子 }。
str_id_4080|你 或 许 能 给 马 具 增 添 一 丝 人 性，但 仅 仅 是 一 丝。
str_id_4081|如 果 你 因 为 看 到 我 而 心 神 不 宁，我 很 乐 意 帮 你 弄 掉 你 的 眼 睛。
str_id_4082|你 竟 然 在 我 保 护 下 的 {s51} 村 庄 屠 杀 无 辜 的 平 民。现 在，你 将 为 你 的 罪 行 遭 到 惩 罚。
str_id_4083|你 掠 夺 了 我 的 {s51} 村 庄，毁 坏 我 的 产 业 并 杀 害 我 的 租 户。我 要 你 用 血 来 偿 还！
str_id_4084|你 掠 夺 了 我 的 {s51} 村 庄，毁 坏 我 的 产 业 并 杀 害 我 的 租 户。在 你 想 再 次 这 样 做 之 前，我 劝 你 三 思。
str_id_4085|你 掠 夺 了 我 的 {s51} 村 庄，毁 坏 我 的 产 业 并 杀 害 我 保 护 下 的 租 户。你 必 须 为 自 己 的 罪 行 付 出 代 价！
str_id_4086|你 掠 夺 了 我 的 {s51} 村 庄，如 果 你 再 这 样 我 就 像 收 拾 鱼 那 样 捏 爆 你 的 鱼 泡！
str_id_4087|你 掠 夺 了 我 的 {s51} 村 庄，彻 底 毁 掉 了 我 们 之 间 的 关 系。
str_id_4088|你 洗 劫 了 我 的 村 庄{s51}。若 仍 这 般 胡 作 非 为，我 们 很 快 便 会 兵 戎 相 见。
str_id_4089|你 洗 劫 了 我 的 村 庄{s51}。等 我 把 你 的 残 肢 挂 遍 村 子 的 每 个 角 落，村 民 们 一 定 会 欢 呼 雀 跃。
str_id_4090|你 洗 劫 了 我 的 村 庄{s51}。我 会 为 此 把 你 砸 成 肉 泥；你 若 死 了，我 便 让 村 民 用 你 的 头 骨 畅 饮。
str_id_4091|我 听 说 你 从 {s51} 村 那 些 受 我 保 护 的 老 实 村 民 手 中 偷 走 了 不 少 牲 口，现 在 是 你 为 你 的 罪 行 付 出 代 价 的 时 候 了。
str_id_4092|我 听 说 你 从 属 于 我 的 {s51} 村 的 村 民 们 手 中 偷 走 了 不 少 牲 口，现 在 你 将 为 你 可 耻 的 行 为 付 出 代 价！
str_id_4093|我 听 说 你 从 属 于 我 的 {s51} 村 的 村 民 们 手 中 偷 走 了 不 少 牲 口，我 给 你 一 个 机 会，让 你 弥 补 你 再 次 破 坏 我 的 收 入 的 愚 行！
str_id_4094|我 听 说 你 从 属 于 我 的 {s51} 村 的 村 民 们 手 中 偷 走 了 不 少 牲 口，现 在 你 将 为 你 可 耻 的 行 为 付 出 代 价！
