dlga_1164|Dummy first line
dlga_id:lord_pretalk_122|无 妨—— 你 需 要 多 久 筹 钱，就 花 多 久。我 只 希 望 她 日 后 能 得 到 妥 善 照 料。
dlga_id:lord_pretalk.1_29|那 的 确 令 人 遗 憾，但 若 我 任 由 她 面 对 一 个 毫 无 保 障 的 未 来，便 是 失 职。
dlga_id:lord_courtship_permission|{s10}，我 能 否 有 幸 拜 访 {s14}{s12}？
dlga_id:lord_pretalk_123|{s12}
dlga_id:lord_pretalk.1_30|我 听 说，你 已 经 在 未 经 我 许 可 的 情 况 下 同 她 说 过 话。听 清 楚：我 是 她 的 领 主 和 监 护 人，也 早 已 为 她 的 将 来 作 了 安 排。我 绝 不 容 许 旁 人 在 背 后 讥 笑 我，说 我 连 自 己 家 中 的 女 子 都 管 束 不 了。以 后 不 要 再 同 我 谈 这 件 事。
dlga_id:lord_pretalk.2_17|{s14}
dlga_id:lord_pretalk_124|{s12}
dlga_id:lord_talk_ask_marriage_1|若 要 同 您 的 家 族 缔 结 一 份 长 久 盟 约，需 要 什 么 条 件？
dlga_id:lord_pretalk_125|不 必 担 心，我 无 意 改 变 主 意。只 要 有 机 会 举 行 一 场 配 得 上 这 桩 庄 严 婚 事 的 典 礼，我 们 便 会 成 婚。
dlga_id:dplmc_claimant_marriage_proposal_pc_confirm|你 是 在 提 议，以 我 的 {reg33?妻 子 :丈 夫 } 身 份 与 我 共 同 统 治 {s0}？
dlga_id:dplmc_claimant_marriage_proposal_pc_reax|是 的，这 正 是 我 的 提 议。
dlga_id:lord_pretalk_126|不，我 想 你 误 会 了。忘 掉 我 刚 才 的 话 吧。
dlga_id:lord_pretalk.1_31|哦，见 鬼，当 然 不 是！你 完 全 误 会 了……就 当 我 什 么 都 没 说。
dlga_id:lord_pretalk_127|不 必 担 心，我 无 意 改 变 主 意。只 要 有 机 会 举 行 一 场 配 得 上 这 桩 庄 严 婚 事 的 典 礼，我 们 便 会 成 婚。
dlga_id:lord_pretalk.1_32|很 遗 憾，这 不 可 能，因 为 我 已 经 与 {s0} 成 婚。{reg33?:}
dlga_id:lord_pretalk.2_18|很 遗 憾，这 不 可 能，因 为 你 已 经 与 {s0} 成 婚。{reg33?:}
dlga_id:lord_pretalk.3_7|很 遗 憾，这 不 可 能，因 为 我 已 经 与 {s0} 订 婚。{reg33?:}
dlga_id:lord_pretalk.4_5|很 遗 憾，这 不 可 能，因 为 你 已 经 与 {s0} 订 婚。{reg33?:}
dlga_id:lord_pretalk.5_4|{s14}
dlga_id:lord_marriage_proposal_female_pc_confirm_engagement|{s14}
dlga_id:lord_pretalk.1_33|按 照 我 们 的 传 统，这 样 的 盟 约 应 以 婚 姻 来 巩 固。自 你 来 到 这 片 土 地 以 来，已 经 闯 出 了 不 小 的 名 声，我 本 可 以 考 虑 这 项 安 排；可 惜 我 的 家 族 中 没 有 适 婚 之 人。
dlga_id:lord_pretalk.2_19|我 若 告 诉 你，身 为 一 名 {s0}，我 早 已 为 自 己 的 子 女 另 作 安 排，希 望 你 不 要 见 怪。
dlga_id:lord_pretalk.3_8|按 照 我 们 的 传 统，这 样 的 盟 约 应 以 婚 姻 来 巩 固。遗 憾 的 是，我 的 家 族 中 没 有 适 婚 之 人。
dlga_id:lord_courtship_pre_permission|{s15}
dlga_id:lord_marriage_proposal_female_pc_confirm|你 是 在 向 我 求 婚 吗？
dlga_id:lord_courtship_permission_2|我 能 否 {s15} 请 求 您 考 虑，让 我 成 为 您 的 {reg33?未 婚 妻:未 婚 夫}？
dlga_id:lord_marriage_permission_engagement_date_2|作 弊—— 开 始 订 婚
dlga_id:wedding_ceremony_bride_vow_2|作 弊—— 立 即 完 成 婚 礼
dlga_id:wedding_ceremony_bride_vow_3|作 弊—— 与 我 的 未 婚 配 偶 完 成 婚 礼
dlga_id:lord_pretalk_128|算 了。
dlga_id:lord_marriage_proposal_female_pc_reax|是 的，这 正 是 我 的 提 议。
dlga_id:lord_pretalk_129|不，我 想 你 误 会 了。
dlga_id:lord_pretalk.1_34|哦，见 鬼，当 然 不 是！你 完 全 误 会 了……就 当 我 什 么 都 没 说。
dlga_id:lord_pretalk_130|{s14}
dlga_id:lord_pretalk_131|{s14}
dlga_id:lord_marriage_proposal_female_pc_next_step_2|{s14}
dlga_id:lord_marriage_proposal_female_pc_next_step_5|我 看 不 必！
dlga_id:lord_marriage_proposal_female_pc_next_step_5.1|很 好。
dlga_id:lord_marriage_proposal_female_pc_next_step_4|照 理 说，下 一 步 该 由 我 派 人 向 你 的 家 族 求 取 婚 约，不 过 看 来，你 自 己 的 终 身 大 事 一 向 由 自 己 作 主。
dlga_id:lord_marriage_proposal_female_pc_next_step_5_2|你 猜 得 没 错。
dlga_id:lord_marriage_proposal_female_pc_confirm_engagement_2|既 然 我 们 的 婚 事 已 再 无 阻 碍，那 么 是 否 该 正 式 订 下 婚 约？我 会 举 办 一 场 盛 大 宴 会，让 我 们 在 王 国 所 有 {s0} 面 前 交 换 誓 言—— 当 然，前 提 是 你 愿 意。
dlga_id:lord_marriage_proposal_female_pc_confirm_engagement_yes|我 愿 意。
dlga_id:lord_marriage_proposal_female_pc_confirm_engagement_no|其 实，我 还 想 再 考 虑 一 下。
dlga_id:close_window_217|很 好。若 一 切 顺 利，再 过 一 个 多 月，我 们 便 能 成 婚。{s12}
dlga_id:close_window_218|慢 慢 考 虑 吧，我 的 {reg33?女 士 :领 主 }。
dlga_id:lord_pretalk_132|算 了。
dlga_id:lord_pretalk_133|那 你 只 好 去 问 别 人 了。
dlga_id:lady_pretalk|恐 怕 你 得 去 问 别 人。
dlga_id:lord_talk_ask_location_2|好 吧，我 未 必 知 道 答 案。你 想 打 听 谁？
dlga_id:lord_talk_ask_location_3|{s1}
dlga_id:lady_pretalk_2|算 了。
dlga_id:lord_pretalk_134|算 了。
dlga_id:lady_pretalk_3|{s1}
dlga_id:lord_pretalk_135|{s1}
dlga_id:lord_talk_ask_about_war_2|{s12}
dlga_id:lord_talk_ask_about_war_details|多 告 诉 我 一 些 同 {s1} 交 战 的 情 况。
dlga_id:lord_pretalk_136|这 就 是 我 想 知 道 的 全 部。多 谢。
dlga_id:lord_talk_ask_about_war_2_2|{s9}.
dlga_id:lord_strategy_follow_evaluation|{s7} {s9} {s14}
dlga_id:lord_talk_ask_something_2_3|你 还 有 别 的 问 题 吗？
dlga_id:lord_strategy_follow_up|我 们 的 领 袖 {s4} 实 在 过 于 谨 慎。{reg4?他 :她 } 要 么 该 率 军 进 攻 敌 人，要 么 就 该 让 大 军 解 散 归 乡。
dlga_id:lord_strategy_follow_up.1|我 军 只 是 驻 在 原 地，毫 无 行 动。显 然，应 征 前 来 的 封 臣 太 少。看 来 {s4} 并 未 得 到 王 国 大 领 主 们 的 信 任。
dlga_id:lord_strategy_follow_up.2|我 不 赞 同 这 项 战 略。我 更 愿 意 {s4}。
dlga_id:lord_strategy_follow_up.3|我 个 人 更 愿 意 进 攻 {s8}，但 我 们 的 元 帅 {s10} 认 为 那 里 {s9}
dlga_id:lord_strategy_follow_up.4|我 个 人 更 愿 意 防 守 {s8}，而 不 是 {s9}。
dlga_id:lord_talk_11|还 有 别 的 事 么？
dlga_id:lord_strategy_follow_up.5|在 我 看 来，这 项 战 略 还 算 合 理。
dlga_id:lord_strategy_why_not|既 然 你 正 在 进 攻，为 何 不……
dlga_id:lord_talk_ask_something_again_3|我 明 白 了……
dlga_id:lord_talk_replace_marshal|那 么，你 认 为 {s4} 已 经 不 适 合 继 续 担 任 元 帅 了？
dlga_id:lord_talk_ask_something_again_4|我 认 为，在 开 始 争 论 是 否 更 换 元 帅 之 前，王 国 应 先 解 决 {s4} 的 问 题。
dlga_id:lord_talk_ask_something_again.1|是 的，我 早 已 表 明 立 场。我 认 为 应 由 {s4} 取 代 {s5} 担 任 元 帅。
dlga_id:lord_talk_ask_something_again.2|此 事 我 会 自 行 判 断，不 需 要 你 来 游 说，{reg33?女 士:先 生}。
dlga_id:lord_talk_replace_marshal_decision|嗯……
dlga_id:lord_talk_ask_something_again_5|是 的，我 会 这 么 说。照 目 前 来 看，我 更 倾 向 于 支 持 {s15}。很 高 兴 我 们 谈 过 此 事，至 少 我 知 道 你 我 对 此 看 法 一 致。
dlga_id:lord_talk_ask_something_again.1_2|未 必。{s4} 与 我 在 战 略 上 坦 率 地 意 见 相 左，并 不 意 味 着 我 想 取 而 代 之。
dlga_id:lord_strategy_why_not_select|什 么？
dlga_id:lord_talk_ask_something_again_6|算 了。
dlga_id:lord_strategy_why_not_reason|……继 续 进 攻 {s4}？
dlga_id:lord_strategy_why_not_reason.1|……防 守 {s4}？
dlga_id:lord_strategy_why_not_reason.2|……进 攻 {s4}？
dlga_id:lord_talk_why_not_repeat|{s9}
dlga_id:lord_talk_why_not_repeat.1|我 们 的 元 帅 {s11} 认 为 {s8}{s9}{s10}
dlga_id:lord_talk_why_not_repeat.2|我 们 本 可 以 前 往 那 里。{s7} 然 而，{s5}{s3}{s4}。{s6}{s8}。
dlga_id:lord_strategy_why_not_select_2|你 还 有 类 似 的 问 题 吗？譬 如，我 们 为 何 不……
dlga_id:party_encounter_lord_hostile_ultimatum_surrender|我 只 说 一 次，{s4}！投 降，否 则 死！
dlga_id:close_window_219|{s43}
dlga_id:lord_predemand|我 是 来 向 你 提 出 条 件 的！
dlga_id:lord_demand|哦？你 想 要 什 么？
dlga_id:lord_ultimatum_surrender|我 只 给 你 一 次 机 会：投 降，或 者 死。
dlga_id:lord_attack_verify|{s43}
dlga_id:lord_attack_verify_cancel|原 谅 我，阁 下。我 也 不 知 道 自 己 刚 才 在 想 什 么。
dlga_id:close_window_220|那 就 滚 开。
dlga_id:lord_attack_verify_commit|与 你 无 关。准 备 战 斗！
dlga_id:lord_attack_verify_b|{s43}
dlga_id:lord_attack_verify_cancel_2|原 谅 我，阁 下。我 也 不 知 道 自 己 刚 才 在 想 什 么。
dlga_id:lord_attack_verify_commit_2|我 不 会 退 让。准 备 战 斗！
dlga_id:close_window_221|{s43}
dlga_id:lord_pretalk_137|原 谅 我，没 什 么。
dlga_id:liege_defends_claim_1|我 在 旅 途 中 遇 见 了 一 个 自 称 {s45} 的 人……
dlga_id:liege_defends_claim_2|哦，真 的 吗？敢 在 我 面 前 提 起 那 个 名 字 的 人 可 不 多。我 还 拿 不 准，该 奖 赏 你 的 勇 气，还 是 惩 罚 你 的 无 礼。
dlga_id:liege_defends_claim_3|很 好，我 便 满 足 你 的 好 奇 心。但 听 仔 细 了，因 为 我 不 想 再 谈 第 二 遍。
dlga_id:liege_defends_claim_4|{s48}
dlga_id:lord_talk_12|{s48}
dlga_id:close_window_222|作 弊—— 好 吧。
dlga_id:lord_prison_break_chains|我 是 来 救 你 出 去 的。{reg33?:}
dlga_id:companion_prison_break_chains_2_2|谢 天 谢 地，你 终 于 来 了！不 过 我 戴 着 这 些 脚 镣，哪 儿 也 去 不 了。你 得 想 办 法 把 锁 打 开。
dlga_id:lord_pretalk_138|我 在 做 什 么？这 还 用 问 吗？我 被 囚 禁 在 这 里！
dlga_id:lord_pretalk.1_35|我 眼 下 没 有 指 挥 任 何 部 队。
dlga_id:lord_pretalk.2_20|我 们 正 在 {s1} 休 整。{s14}{s15}
dlga_id:lord_pretalk.3_9|我 们 正 赶 往 {s1}。{s14}{s15}
dlga_id:lord_pretalk_139|我 正 前 往 {s1} 附 近。{s14}{s15}
dlga_id:lord_pretalk.4_6|我 们 正 在 {s1} 招 募 新 兵。{s14}{s15}
dlga_id:lord_pretalk.5_5|我 们 正 在 {s1} 附 近 搜 寻 敌 军 踪 迹。{s14}{s15}
dlga_id:lord_pretalk.6_3|我 们 正 在 洗 劫 {s1} 村 庄。{s14}{s15}
dlga_id:lord_pretalk.7_2|我 们 正 向 {s1} 撤 退。{s14}{s15}
dlga_id:lord_pretalk.8_2|我 们 正 在 围 攻 {s1}。{s14}{s15}
dlga_id:lord_pretalk.9_2|我 们 正 在 与 {s1} 作 战。{s14}{s15}
dlga_id:lord_pretalk.10|我 正 掩 护 {s1} 的 推 进。{s14}{s15}
dlga_id:lord_pretalk.11|我 们 正 与 {s1} 同 行。{s14}{s15}
dlga_id:lord_talk_ask_about_strategy_2|我 正 在 统 率 王 国 大 军。
dlga_id:lord_pretalk.12|我 们 正 在 重 新 考 虑 下 一 个 目 标。
dlga_id:lord_pretalk.13|我 不 知 道：{reg1}{s1}。（错 误）
dlga_id:lord_ask_follow|你 愿 意 跟 随 我 吗？我 有 个 计 划。
dlga_id:close_window_223|我 喜 欢 与 你 为 伴，{playername}，但 眼 下 还 有 别 的 事 务 必 须 处 理。也 许 几 天 后，我 能 再 次 与 你 并 辔 而 行。
dlga_id:close_window.1_42|这 恐 怕 不 妥，{playername}。你 何 不 改 为 跟 随 我？
dlga_id:close_window.2_8|{s43}
dlga_id:close_window.3_5|带 路 吧，{playername}！让 我 们 把 死 亡 与 败 亡 带 给 一 切 敌 人。
dlga_id:lord_talk_offer|什 么？
dlga_id:knight_offer_join|我 想 赎 回 你 手 中 的 一 名 俘 虏。
dlga_id:lord_pretalk_140|算 了。
dlga_id:hero_pretalk|恐 怕 我 现 在 无 法 加 入 你，{playername}。我 有 一 件 要 紧 事 必 须 立 刻 处 理。
dlga_id:hero_pretalk.1|你 忘 了 自 己 的 身 份，{reg33?长 官:长 官}。我 可 不 会 听 从 你 这 种 人 的 命 令。
dlga_id:knight_offer_join_2|我 很 愿 意 与 你 并 肩 作 战，朋 友，但 有 个 麻 烦……我 欠 下 了 一 笔 债，必 须 尽 快 还 清，总 计 {reg6}枚 金 币。荣 誉 不 容 我 少 还 一 枚。除 非 你 能 拿 出 {s6} 枚 金 币 替 我 解 围，否 则 我 只 能 先 想 办 法 卸 下 这 副 重 担。
dlga_id:close_window_224|加 入 你？休 想。
dlga_id:knight_offer_join_2.1|好 啊，朋 友，我 很 乐 意 加 入 你。
dlga_id:knight_offer_join_accept|拿 去 吧，这 是 你 所 需 的 {reg6}枚 金 币。钱 财 而 已。
dlga_id:knight_offer_join_accept.1|那 么，朋 友，让 我 们 并 肩 上 路 吧。{reg33?:}
dlga_id:close_window_225|这 消 息 不 错。我 会 考 虑 的。
dlga_id:hero_pretalk_2|这 消 息 不 错。我 会 考 虑 的。
dlga_id:knight_offer_join_accept_party|我 麾 下 还 有 一 些 可 靠 的 人 手，或 许 能 为 你 所 用。你 打 算 如 何 安 置 他 们？
dlga_id:close_window_226|啊，当 然，这 或 许 会 很 有 趣！
dlga_id:knight_join_party_disband|解 散 你 的 人 吧，我 不 需 要 更 多 部 队。
dlga_id:knight_join_party_join|你 的 人 也 可 以 一 同 加 入。眼 下 每 一 名 能 征 善 战 的 士 兵 都 弥 足 珍 贵。
dlga_id:knight_join_party_lead_out|先 带 你 的 人 离 开 城 镇，我 会 在 路 上 赶 上 你 们。
dlga_id:knight_join_party_lead_out.1|继 续 做 你 原 先 的 事，我 稍 后 会 赶 来。
dlga_id:close_window_227|啊……好 吧，{playername}。我 虽 不 愿 失 去 这 些 好 手，但 决 定 权 在 你。我 会 解 散 部 队，然 后 加 入 你。
dlga_id:close_window_228|好 极 了！我 和 弟 兄 们 会 与 你 一 同 上 路。
dlga_id:close_window_229|很 好。我 会 率 人 在 这 一 带 巡 逻。若 还 有 新 的 命 令，再 来 找 我。
dlga_id:close_window_230|哦？你 当 初 声 称 愿 意 效 忠，只 是 为 了 拖 延 时 间？很 好，我 会 给 你 时 间 重 新 考 虑；但 若 你 只 是 在 戏 弄 我，你 的 声 誉 必 将 受 损。
dlga_id:close_window_231|哦？你 当 初 声 称 愿 意 效 忠，只 是 为 了 拖 延 时 间？很 好，我 会 给 你 时 间 重 新 考 虑；但 若 你 只 是 在 戏 弄 我，你 的 声 誉 必 将 受 损。
dlga_id:close_window.1_43|一 派 胡 言！我 竟 险 些 让 你 跻 身 贵 族 之 列。趁 我 尚 未 发 怒，滚 吧，乞 丐！
dlga_id:lord_give_oath_under_oath_already|你 不 是 已 经 宣 誓 效 忠 于 {s5} 了 吗？
dlga_id:lord_pretalk_141|的 确 如 此，{s65}。请 原 谅 我 胡 言 乱 语。
dlga_id:lord_pretalk_142|{playername}，我 只 接 受 那 些 值 得 信 任、能 够 恪 守 誓 言 之 人 的 效 忠。
dlga_id:lord_ask_enter_service_female_2|阁 下，你 颇 有 成 为 优 秀 统 帅 的 才 干。拥 有 这 般 本 领 的 人 在 这 片 土 地 上 并 不 常 见，却 也 并 非 没 有 先 例。许 多 贵 族 都 曾 在 配 偶 或 双 亲 战 死、被 俘 之 后 接 掌 军 队。{reg33?:}{reg33?:}{reg33?:}{reg33?:}{reg33?:}{reg33?:}{reg33?:}
dlga_id:lord_ask_enter_service_female_response|然 而，我 从 未 听 说 哪 位 {s0} 仅 仅 因 为 {reg65?她 :他 } 缺 少 一 名 封 臣，就 把 封 地 授 予 一 位 {reg33?女 人 :男 人 }。无 论 你 多 么 英 勇，我 若 这 样 做，必 会 招 来 整 片 土 地 的 非 议。人 们 会 说 我 受 了 迷 惑 或 中 了 巫 术，甚 至 妄 图 颠 覆 世 间 秩 序。虽 有 遗 憾，我 仍 不 能 冒 险 把 封 地 授 予 你。{reg33?:}
dlga_id:lord_ask_enter_service_female_solution_capture|若 我 亲 手 夺 下 一 座 敌 人 的 城 堡 呢？
dlga_id:lord_ask_enter_service_female_solution_marriage|若 我 与 您 的 一 位 领 主 成 婚 呢？
dlga_id:lord_ask_enter_service_female_solution_competitor|也 许 您 的 某 位 对 手 会 比 您 更 开 明。
dlga_id:lord_ask_enter_service_2|即 便 没 有 封 地，我 也 愿 为 您 而 战。
dlga_id:lord_pretalk_143|算 了。
dlga_id:lord_ask_enter_service_female_response_2|即 便 如 此，我 仍 不 愿 授 予 你 任 何 封 地。不 过，你 无 疑 可 以 使 用 {reg33?丈 夫:妻 子} 的 产 业，在 事 实 上 如 同 我 的 封 臣 一 般 行 事，只 是 没 有 正 式 名 分。你 还 有 别 的 问 题 吗？
dlga_id:lord_ask_enter_service_female_response_3|哦，也 许 你 能 找 到 一 个 真 正 走 投 无 路 的 人—— 不 过 那 样 的 人，恐 怕 也 没 有 多 少 封 地 可 供 赏 赐。你 还 有 别 的 问 题 吗？
dlga_id:lord_ask_enter_service_female_response_4|嗯，若 真 是 那 样，我 或 许 会 视 当 时 情 形，准 许 你 保 留 那 座 城 堡。你 还 有 别 的 问 题 吗？
dlga_id:lord_give_oath_1|{playername}，你 以 勇 敢 的 {reg33?战 士:武 人} 和 卓 越 的 统 帅 闻 名。若 你 已 准 备 向 我 宣 誓 效 忠，我 很 乐 意 接 受 你 的 {s0}，并 授 予 你 封 臣 之 位。
dlga_id:lord_pretalk.1_36|你 还 没 有 证 明 自 己 是 一 名 合 格 的 统 帅，{playername}。去 迎 战 我 的 敌 人，证 明 你 配 得 上 封 臣 之 位。到 那 时，我 们 再 谈。{reg33?:}
dlga_id:lord_give_oath_2_3|我 已 经 准 备 好 了，{s65}。
dlga_id:lord_give_oath_give_up|请 原 谅，{s65}。此 事 我 还 得 再 仔 细 考 虑……
dlga_id:lord_pretalk_144|慢 慢 考 虑 吧，我 的 女 士。
dlga_id:close_window.1_44|你 究 竟 在 玩 什 么 把 戏，{playername}？先 拿 定 主 意，再 回 来 见 我，别 再 浪 费 我 的 时 间。
dlga_id:lord_give_oath_3|很 好。跟 着 我 重 复 誓 词：我 向 您 宣 誓 效 忠，承 认 您 是 {s41} 的 合 法 统 治 者。
dlga_id:lord_give_oath_4|我 向 您 宣 誓 效 忠，承 认 您 是 {s41} 的 合 法 统 治 者。
dlga_id:lord_give_oath_give_up_2|请 原 谅，{reg65?尊 敬 的 女 士 :先 生 }。但 我 觉 得 自 己 还 需 要 考 虑。
dlga_id:lord_give_oath_5|只 要 我 尚 有 一 息，便 会 忠 诚 地 追 随 并 侍 奉 您……
dlga_id:lord_give_oath_6|只 要 我 尚 有 一 息，便 会 忠 诚 地 追 随 并 侍 奉 您……
dlga_id:lord_give_oath_give_up_3|{reg65?女 士:先 生}，能 否 给 我 一 些 时 间 考 虑？
dlga_id:lord_give_oath_7|……若 您 需 要 我 的 剑，我 必 在 您 身 旁，与 您 的 敌 人 血 战。
dlga_id:lord_give_oath_8|……若 您 需 要 我 的 剑，我 必 在 您 身 旁，与 您 的 敌 人 血 战。
dlga_id:lord_give_oath_give_up_4|{reg65?女 士:大 人}，请 再 给 我 一 些 时 间 考 虑。
dlga_id:lord_give_oath_9|最 后，我 将 捍 卫 您 的 合 法 权 利，以 及 您 正 统 继 承 人 的 权 利。
dlga_id:lord_give_oath_10|最 后，我 将 捍 卫 您 的 合 法 权 利，以 及 您 正 统 继 承 人 的 权 利。
dlga_id:lord_give_oath_give_up_5|{reg65?尊 敬 的 女 士 :先 生 }，我 还 需 要 更 多 时 间 考 虑。
dlga_id:lord_give_oath_go_on_2|很 好。你 已 经 向 我 立 下 庄 严 誓 言，{playername}。愿 你 永 远 以 应 有 的 勇 气 与 忠 诚 恪 守 此 誓。
dlga_id:lord_give_oath_go_on_3|自 今 日 起，世 人 皆 知 你 是 向 我 宣 誓 效 忠 的 {reg33?追 随 者:臣 属} 和 封 臣。我 将 庇 护 你，准 许 你 以 我 的 名 义 携 带 武 器；除 非 经 同 侪 依 法 裁 决，或 依 照 此 地 的 法 律 与 习 俗，我 绝 不 会 剥 夺 你 的 生 命、自 由 或 财 产。{reg1?此 外，我 将 {s1} 封 给 你，其 全 部 租 金 与 收 入 皆 归 你 所 有。:}
dlga_id:lord_give_conclude|你 作 出 了 明 智 的 选 择，{playername}。好 好 为 我 效 力，我 保 证 你 必 能 飞 黄 腾 达。
dlga_id:view_char_requested|跟 我 说 说 你 自 己。
dlga_id:lord_give_conclude_2|{s41}
dlga_id:close_window.1_45|那 便 如 此，{s0}。愿 我 所 有 封 臣 都 如 你 一 般 英 勇 忠 诚。
dlga_id:close_window.2_9|我 对 你 寄 予 厚 望，{playername}。我 相 信 你 会 证 明 自 己 配 得 上 这 份 信 任。
dlga_id:lord_enter_service_swear|哈，明 智 之 举，{playername}。只 要 忠 心 效 力，我 麾 下 之 人 便 能 赢 得 财 富 与 权 势；至 于 我 们 的 敌 人……他 们 将 在 我 们 面 前 如 麦 穗 遇 上 镰 刀。不 过，若 要 为 我 效 力，你 必 须 先 断 绝 尘 世 间 的 一 切 旧 誓 与 羁 绊，并 宣 誓 只 效 忠 于 {s5}。{reg33?:}{reg33?:}
dlga_id:lord_enter_service_swear_accepted|我 在 此 宣 誓，{s65}。
dlga_id:lord_enter_service_swear_denied|我 还 需 要 一 些 时 间 考 虑。
dlga_id:close_window_232|你 是 在 戏 弄 我 吗？我 没 时 间 陪 你 玩 这 种 把 戏，{playername}。现 在 就 拿 定 主 意，别 再 浪 费 我 的 时 间！
dlga_id:lord_enter_service_swear_accepted_2|那 么，我 很 荣 幸 欢 迎 你 为 我 的 家 族 效 力。从 今 日 起，{playername}，你 便 是 一 名 {s5} 战 士，并 拥 有 与 之 相 伴 的 一 切 职 责 和 权 利。
dlga_id:close_window_233|我 命 你 在 任 何 地 方 发 现 敌 军，都 要 将 其 连 根 拔 除。此 外，我 和 其 他 封 臣 领 主 也 会 不 时 交 给 你 特 殊 任 务。效 忠、战 斗，并 恪 守 誓 言。若 你 志 在 晋 升，这 些 功 绩 必 能 让 你 平 步 青 云。愿 诸 神 赐 予 我 们 长 寿，也 赐 予 我 们 无 数 值 得 在 大 厅 中 举 杯 庆 贺 的 胜 利！
dlga_id:lord_ask_leave_service_verify|嗯……这 份 誓 言 已 经 成 为 你 的 重 担 了 吗，{playername}？请 求 解 除 效 忠 并 非 常 事，但 念 在 你 一 向 尽 忠 职 守，若 你 当 真 决 意 离 去，我 不 会 强 留。只 是 我 们 会 十 分 怀 念 你。
dlga_id:lord_ask_leave_service_verify.1|解 除 效 忠？嗯……也 许 这 对 双 方 都 好。不 过，{playername}，你 必 须 确 定 这 正 是 自 己 想 要 的。此 事 绝 不 可 轻 率 决 定。
dlga_id:lord_ask_leave_service_2|这 是 我 不 得 不 做 的 事，{s65}。
dlga_id:lord_ask_leave_service_giveup|您 说 得 对，{s65}。我 的 归 宿 就 在 这 里。
dlga_id:lord_pretalk_145|很 高 兴 听 你 这 样 说，{playername}。今 后 别 再 让 这 种 不 堪 的 念 头 占 据 你 的 心。
dlga_id:lord_ask_leave_service_verify_again|你 确 定 吗？还 要 记 住，一 旦 离 开 我 的 麾 下，你 必 须 归 还 所 有 以 我 的 名 义 持 有 的 封 地。
dlga_id:lord_ask_leave_service_3|是 的，{s65}。
dlga_id:lord_ask_leave_service_giveup_2|当 然 不 是，{s65}。我 永 远 是 您 忠 诚 的 封 臣。
dlga_id:lord_ask_leave_service_end|如 你 所 愿。我 在 此 宣 布，你 的 誓 言 从 此 作 废。你 不 再 以 我 的 名 义 持 有 任 何 土 地 或 头 衔，也 不 再 承 担 对 我 家 族 的 义 务。你 自 由 了，{playername}。{reg33?:}
dlga_id:lord_ask_leave_service_end_2|多 谢 您，阁 下。能 为 您 效 力，是 我 的 荣 幸……
dlga_id:lord_ask_leave_service_end_2.1|多 谢。再 次 成 为 自 由 的 {reg33?女 人:男 人}，感 觉 真 好。
dlga_id:close_window_234|那 么，再 会 了，{playername}。愿 好 运 与 你 同 在。
dlga_id:lord_lend_companion_end_2|哦，你 想 让 自 己 的 同 伴 回 来？我 明 白 了……
dlga_id:lord_pretalk_146|{playername}，请 再 耐 心 等 候 一 阵。我 仍 需 要 你 的 同 伴 相 助。待 此 事 平 息 后，再 来 找 我 吧。
dlga_id:lord_active_mission_2|是 的。事 情 可 有 进 展？
dlga_id:lord_generic_mission_thank|当 然。我 给 您 带 来 了 {reg1}名 {s1} 俘 虏。
dlga_id:capture_enemy_hero_thank|当 然。我 替 您 俘 获 了 一 名 来 自 {s13} 的 领 主。
dlga_id:capture_enemy_hero_thank_2|多 谢 你，我 的 朋 友。此 人 会 是 一 枚 很 有 价 值 的 谈 判 筹 码。你 干 得 漂 亮。请 收 下 这 {reg5}枚 金 币，作 为 酬 谢。
dlga_id:lord_pretalk_147|当 然，{s65}。
dlga_id:lord_pretalk.1_37|不 足 挂 齿。
dlga_id:lord_pretalk.2_21|下 次 给 我 一 项 更 有 挑 战 的 差 事 吧。
dlga_id:lord_raise_troops_thank|当 然。我 已 经 训 练 好 了 {reg1}名 {s13}，您 可 以 将 他 们 带 走。
dlga_id:lord_raise_troops_thank_2|这 些 {playername} 或 许 足 以 扭 转 我 的 计 划，{reg4?勇 敢 的 女 人:训 练 有 素 的 男 人}。我 相 信 你 已 经 把 他 们 训 练 得 十 分 出 色。请 接 受 我 的 感 谢 和 赞 赏。
dlga_id:lord_pretalk_148|这 些 人 现 在 听 您 指 挥 了，阁 下。我 相 信 您 会 善 待 他 们。
dlga_id:lord_collect_taxes_success|这 是 从 {s3} 征 收 的 全 部 税 款，共 计 {reg19}枚 金 币。
dlga_id:lord_collect_taxes_half_success|这 是 从 {s3} 征 得 的 税 款，共 计 {reg19}枚 金 币。
dlga_id:lord_collect_taxes_fail|很 遗 憾，征 税 期 间 爆 发 了 叛 乱。我 只 收 到 了 {reg19}枚 金 币。
dlga_id:lord_pretalk_149|干 得 漂 亮，{playername}，实 在 漂 亮！你 果 然 是 最 适 合 办 这 差 事 的 人。我 答 应 给 你 税 款 的 五 分 之 一，也 就 是 {reg21}枚 金 币。你 只 需 交 给 我 {reg20}枚，余 下 的 都 归 你。皆 大 欢 喜，不 是 吗？
