qstr_1164|Dummy first line
qstr_Attracted_by_the_leg|阴 暗 的 树 林 深 处 有 着 许 多 遗 址 和 传 说，吸 引 着 大 量 探 险 家 前 去 寻 找 财 富 与 刺 激。你 的 父 亲 也 是 其 中 之 一。但 很 快，他 发 现 那 些 破 旧 的 城 墙 并 没 有 什 么 神 奇 之 处，之 后，厌 倦 了 这 种 生 活 的 他 定 居 在 一 个 小 村 庄，一 段 时 间 后，你 出 生 了。
qstr_Shunned_by_society_f|受 社 会 对 他 非 正 统 的 质 疑，你 父 亲 逃 到 森 林 中 寻 找 一 个 安 全 的 地 方 来 躲 避 帝 国 审 判 官 的 眼 线 和 那 些 猎 巫 人 的 狂 热 者。在 漫 无 目 的 的 逃 亡 日 子 里，他 发 现 了 附 近 的 一 个 小 村 庄，并 在 那 里 成 为 一 个 牧 师 定 居 下 来，向 当 地 农 民 传 授 黑 暗 之 神 的 信 仰。而 你，在 一 场 疯 狂 的 仪 式 后 诞 生 了。
qstr_Those_born_with_phys|那 些 出 生 时 身 体 异 常 的 人 被 帝 国 社 会 拒 绝，被 视 为 怪 物，他 们 只 能 独 自 生 活 等 待 死 亡。你 的 父 亲，他 的 身 体 有 缺 陷，但 思 想 却 充 实，他 在 荒 野 上 存 活 下 来 并 试 图 努 力 提 升 自 己。最 后 当 他 抵 达 传 言 中 那 片 能 变 成 正 常 人 的 土 地 时 定 居 了 下 来，组 建 了 一 个 家 庭 生 下 了 你。
qstr_Last_of_a_noble_bloo|最 后 一 个 高 贵 的 血 统，你 的 父 亲 是 一 个 西 尔 凡 尼 亚 的 小 贵 族。在 他 年 轻 的 时 候，他 整 日 无 所 事 事 的 为 了 女 人 决 斗、打 猎 和 挥 霍 他 家 族 留 下 的 黄 金。但 有 时 太 多 的 无 节 制 快 乐 会 导 致 不 必 要 的 结 果。你，一 个 和 酒 吧 女 招 待 乱 搞 生 下 的 孩 子，一 个 不 承 认 你 的 父 亲。
qstr_Without_any_memory_l|你 的 父 亲 已 不 记 得 血 之 契 约 之 前 的 人 生。他 是 某 位 吸 血 鬼 的 贴 身 奴 仆，被 强 迫 学 习 武 器 与 战 斗，一 生 只 为 消 灭 主 人 的 敌 人，与 其 说 是 个 打 手，不 如 说 是 一 件 工 具。他 的 意 志 早 已 被 彻 底 摧 毁；为 了 得 到 更 多 可 操 纵 的 棋 子 和 可 饮 用 的 鲜 血，吸 血 鬼 命 令 他 繁 衍 后 代。你 就 这 样 出 生 了。
qstr_Hailing_from_Wurtbad|你 的 父 亲 是 一 个 来 自 斯 特 省 首 府 乌 特 拜 德 的 酒 商。他 和 他 的 大 篷 车 穿 越 帝 国 各 地 销 售 著 名 的 斯 特 德 尔 酒。在 一 次 前 去 德 肯 霍 夫 的 路 上，车 队 遭 到 盗 匪 的 袭 击，胆 小 的 他 逃 跑 了。几 天 之 后 他 被 发 现 躺 在 一 个 泥 泞 的 池 塘 里。经 历 如 此 打 击 后，心 灰 意 冷 的 他 在 当 地 娶 了 一 位 农 妇，生 了 很 多 孩 子 定 居 下 来。你 是 他 们 中 的 一 个。
qstr_A_warrior_can_be_str|一 个 强 大 的 战 士，他 的 能 力 无 与 伦 比，他 的 意 志 坚 硬 如 钢。然 而，没 有 好 的 装 备，再 厉 害 的 战 士 也 得 跪。这 就 是 你 的 工 作：锻 造 来 自 奥 苏 安 精 灵 技 艺 的 利 刃 和 盔 甲。你 的 锤 子 砸 在 砧 上，当 你 制 作 那 些 致 命 的 艺 术 品 时，你 的 熔 炉 被 烫 焦 了。在 掌 握 了 高 超 技 艺 后，你 决 定 开 启 旧 世 界 的 探 险。但 没 有 人 真 的 知 道 未 来 会 带 来 什 么。所 以，几 个 世 纪 后，你 变 成……
qstr_Born_under_the_bless|出 生 于 库 尔 纳 斯 的 祝 福 下，你 一 直 有 让 人 目 瞪 口 呆 的 视 力 和 不 可 思 议 的 方 向 感。空 旷 的 沙 漠、茂 盛 的 森 林，你 内 心 的 指 引 总 会 让 你 走 向 正 确 的 道 路。你 不 可 思 议 的 能 力 让 你 决 定 加 入 远 征 军 开 始 对 旧 世 界 的 探 险。然 而，当 你 来 到 艾 瑟 洛 伦 时 一 切 都 发 生 了 改 变，让 你 成 为……
qstr_In_a_world_as_perilo|在 一 个 像 你 一 样 危 险 的 世 界 里，在 那 里 总 是 有 东 西 试 图 杀 死 其 他 东 西，战 争 在 这 里 代 替 了 一 切。你 是 这 个 危 险 游 戏 的 玩 家 之 一。你 开 始 不 记 得 你 的 家 人、你 的 朋 友 的 摸 样，他 们 的 形 象 早 就 撕 裂 在 了 残 酷 和 血 腥 的 战 斗 中。所 以，输 给 了 世 界，你 放 弃 了 选 择 离 开。你 的 到 来 就 像 长 生 不 老 药，当 你 看 到 一 个 机 会 的 开 始……
qstr_The_elven_nature_is_|精 灵 的 本 性 与 魔 法 之 风 紧 密 相 连，他 们 的 历 史 可 追 溯 至 世 界 最 初 的 年 代。你 曾 以 生 命 起 誓 守 护 这 份 知 识，成 为 与 魔 法 高 度 共 鸣 的 调 律 者，仿 佛 无 数 生 命 都 流 淌 于 你 的 灵 魂。正 因 如 此，你 被 选 入 前 往 旧 世 界 的 远 征 军，作 为 精 灵 文 化 与 魔 法 智 识 的 活 见 证。然 而，抵 达 艾 瑟 洛 伦 后，正 是 这 份 强 烈 的 魔 法 共 鸣 改 变 了 你，使 你 化 为……
qstr_As_an_emissary_of_Ul|作 为 乌 瑟 安 的 使 者 和 凤 凰 王，你 是 调 解 与 内 陆 人 口 矛 盾 的 桥 梁。但 战 争 的 爆 发 打 断 了 一 个 你 的 工 作。对 于 一 个 智 慧 的 使 者 而 言，战 斗 不 是 你 的 强 项。你 在 恐 惧 中 逃 亡，直 到 你 来 到 艾 瑟 洛 伦 的 森 林 避 难。在 这 里 你 慢 慢 被 其 他 逃 亡 精 灵 所 影 响，在 这 里 你 变 成 了……
qstr_Your_fascination_for|你 对 冒 险 和 异 国 情 调 的 追 寻 让 你 把 自 己 和 殖 民 者 划 清 了 界 限。你 永 远 不 会 在 一 个 地 方 安 定 下 来。难 怪 当 复 仇 的 战 争 爆 发 了，你 稀 缺 的 民 族 责 任 感 让 你 远 离 了 战 斗，跟 随 着 其 他 精 灵 逃 离 到 了 艾 瑟 洛 伦。在 这 里，你 找 到 了 你 的 家，并 开 始 你 的 新 生 活……
qstr_The_highest_art_of_t|将 恶 魔 束 缚 于 无 生 命 之 物，是 Dawi Zharr最 高 深 的 技 艺。这 不 仅 危 险 万 分、极 度 消 耗 肉 体，也 是 理 解 其 造 物 中 隐 藏 力 量 的 关 键。身 为 恶 魔 束 缚 者，你 既 是 技 艺 卓 绝 的 工 匠，也 是 深 谙 更 大 邪 恶 的 黑 暗 行 家；终 有 一 日，你 或 许 会 成 为 强 大 的 恶 魔 铁 匠。然 而，在 漫 长 的 道 路 上，某 种 变 化 降 临 到 了 你 身 上……
qstr_A_sadistic_master_of|一 个 把 痛 苦 当 作 娱 乐、仪 式 或 说 服 的 施 虐 狂 大 师。一 个 对 刻 在 活 人 肉 体 的 道 路 和 小 径 有 深 刻 鉴 赏 力 的 人。你 对 受 害 者 尸 体 的 折 磨 和 悲 伤 的 献 身 一 直 是 你 的 领 主 们 满 足 的 源 泉，他 们 残 忍 的 痛 苦 被 巧 妙 地 设 计 成 尽 可 能 长 的 时 间，每 一 滴 血 都 向 牛 神 献 祭。直 到 有 一 天，有 些 事 情 改 变 了 你……
qstr_A_position_of_main_i|奴 隶 主 在 奴 隶 制 驱 动 的 混 沌 矮 人 社 会 中 占 据 着 重 要 地 位，奴 隶 主 不 仅 要 负 责 对 指 定 臣 民 的 完 全 服 从 驯 化 和 提 交 其 指 定 的 材 料，而 且 还 要 对 他 们 进 行 统 治 和 战 争 动 员，你 残 酷 无 情 使 这 一 行 为 很 容 易 被 执 行。你 总 是 准 备 好 以 你 个 人 成 功 的 名 义 将 一 群 毫 无 价 值 的 消 耗 品 送 上 绝 路，你 加 入 了 探 险 队，但 沿 途 一 幅 不 同 寻 常 的 景 象 让 你 赞 叹 不 已……
qstr_Unbent._Unbroken._Th|不 屈，不 破。达 维 扎 尔 军 团 由 旧 世 界 最 守 纪 律、最 冷 酷 无 情 的 士 兵 组 成。厚 重 金 属 甲 片 之 下，熔 岩 般 炽 热 的 残 暴 等 待 着 释 放 命 令。作 为 一 名 技 艺 出 众 的 士 兵，你 的 领 主 决 定 让 你 所 在 的 小 队 加 入 他 的 新 一 轮 征 服 行 动。你 并 不 知 道，途 中 发 生 的 某 件 事 将 改 变 你……
qstr_One_of_the_lieutenan|你 曾 是 炼 狱 守 卫 的 一 名 副 官，历 经 千 场 战 斗，是 哈 舒 特 以 鲜 血、灵 魂、锻 造 金 属 与 黑 魔 法 塑 成 的 活 武 器，并 以 此 赎 偿 过 去 的 罪 孽。作 为 一 名 铁 誓 者，你 对 黑 暗 之 父 的 极 端 忠 诚 和 赎 罪 意 志，使 你 毫 不 犹 豫 地 接 受 扩 张 与 追 求 更 大 荣 耀 的 使 命，渴 望 给 弱 小 种 族 带 去 死 亡 与 恐 惧。^然 而 有 一 天，你 亲 眼 见 到 的 一 件 事 引 起 了 你 的 注 意……
qstr_Indeed_the_Chaos_Dwa|事 实 上，混 沌 矮 人 是 一 个 孤 立 主 义 者 群 体，尽 管 他 们 的 产 业 和 社 会 需 要 大 量 的 资 源 和 人 力 来 维 持。这 是 你 比 其 他 人 更 了 解 的，这 就 是 为 什 么 你 有 幸 与 诺 斯 卡 人 民 和 饥 饿 的 食 人 魔 交 易 你 人 民 的 饰 品 和 手 工 艺 品，以 换 取 更 多 的 奴 隶 和 金 属。但 即 使 是 像 你 这 样 的 旅 行 者 也 永 远 不 会 真 正 了 解 世 界 的 一 切，所 以 你 一 看 到……
qstr_The_first_and_greate|卢 斯 特 里 亚 最 早 也 是 最 伟 大 的 庙 宇 城 市，蜥 蜴 人 文 明 的 脉 动 核 心 和 古 老 文 明 的 最 重 要 家 园。你 和 其 他 几 只 灵 蜥 一 起 产 卵，当 一 只 小 蝌 蚪 冲 出 沸 腾 的 泥 潭 时，你 已 经 可 以 感 觉 到 大 金 字 塔 的 神 奇 光 芒 弥 漫 在 你 的 内 心 深 处，一 个 上 升 的 信 仰 将 你 和 你 的 兄 弟 们 与 首 要 城 市 的 高 等 权 力 机 构 联 系 在 一 起，赋 予 你 一 种 与 生 俱 来 的 对 魔 法 之 风 的 理 解。但 这 不 是 你 能 感 觉 到 的 唯 一 触 动 你 的 思 想 和 灵 魂 的 东 西，还 有 更 多，因 为 你 的 后 代 被 上 帝 触 动 了 
qstr_The_northernmost_of_|赫 克 索 特 尔 是 现 存 庙 宇 城 市 的 最 北 端，是 抵 御 来 自 纳 加 罗 特 北 部 土 地 的 所 有 威 胁 的 堡 垒 和 第 一 道 防 线，由 灰 卫 士 活 山 保 护，灰 卫 士 活 山 是 传 说 中 的 史 兰 领 主 马 兹 达 蒙 迪 本 人 的 魔 法，这 里 是 整 个 卢 斯 特 里 安 大 陆 最 勇 敢、最 强 壮 的 战 士 的 家 园。你 的 后 代 数 量 众 多，你 和 你 的 兄 弟 们 在 长 出 四 肢 后 立 即 开 始 显 示 出 强 大 的 体 能。然 而，你 却 不 知 道 这 不 仅 仅 是 出 于 偶 然 和 自 然，而 是 上 帝 的 恩 赐 
qstr_Founded_during_the_l|在 混 沌 之 月 尚 未 出 现、夜 空 只 有 一 轮 明 月 的 失 落 远 古，特 拉 克 斯 兰 圣 殿 城 便 已 建 立。低 等 种 族 把 那 颗 黑 暗 卫 星 称 作 莫 斯 利 布，扭 曲 的 鼠 辈 军 团 则 称 其 为 莫 斯 克 里 特。特 拉 克 斯 兰 正 如 一 只 仰 望 苍 穹 的 巨 眼，蜥 人 帝 国 由 此 研 究 并 驾 驭 宇 宙 的 力 量。你 在 银 月 完 整 而 庄 严 的 光 辉 下 孵 化；初 次 从 泥 浆 中 呼 吸 时，涌 入 脑 海 的 不 只 是 空 气，还 有 预 言 与 祖 先 知 识，它 们 来 自 笼 罩 全 城 的 魔 法 帷 幕。这 场 受 祝 福 的 孵 化 引 来 了 更 高 存 在 的 注 视，一 位 神 祇 因 而 赐 下 礼 物：
qstr_Twin_of_the_great_It|作 为 大 伊 察 城 和 老 伊 察 人 建 造 的 第 二 个 定 居 点 的 孪 生 兄 弟，圣 殿 城 Xlanhuapec是 一 个 传 说 中 存 在 的 地 方，但 除 了 蜥 蜴 人 自 己 和 很 少 的 古 代 外 人 之 外，大 多 数 人 都 不 知 道 它 的 存 在，因 为 它 永 远 笼 罩 在 难 以 穿 透 的 守 护 者 迷 雾 咒 语 中，使 独 眼 大 都 市 在 入 侵 者 和 掠 夺 者 眼 中 看 不 见。在 城 市 的 迷 雾 笼 罩 下，你 从 那 里 出 来 的 产 卵 池 里 充 满 了 新 的 生 命，你 和 你 的 兄 弟 姐 妹 们 很 快 成 长 并 适 应 了 雾 中 的 生 活，形 成 了 一 种 自 然 的 态 度，可 以 在 不 被 注 意 的 情 况 下 快 速 潜 伏 在 街 垒 的 石 巷 和 茂 密 的 丛 林 中。虽 然 你 们 比 其 他 人 有 更 多 的 东 西，一 些 特 别 的 东 西，也 许 是 上 帝 的 工 作 
qstr_The_twice_fallen_cit|两 次 沦 陷 的 阿 克 斯 洛 特 城 是 神 秘 的 隐 士 委 员 会 的 所 在 地，该 委 员 会 由 盯 着 星 星 的 史 兰 祭 司 组 成，是 一 个 连 大 多 数 蜥 蜴 人 都 认 为 早 已 被 遗 弃 的 神 秘 地 方。在 这 座 古 庙 城 的 废 墟 中，除 了 魔 法 圆 顶 遮 蔽 着 整 个 破 碎 定 居 点 的 诡 异 嗡 嗡 声 外，再 也 听 不 到 任 何 低 语 或 低 语。就 是 在 这 里，在 这 些 古 老 的 废 墟 中，你 孕 育 了，但 不 是 一 个 普 通 的 灵 蜥，一 些 不 同 的 东 西，一 些 被 认 为 是 失 落 的 星 城 本 身。一 种 变 色 龙 灵 蜥，被 遗 忘 的 帕 乌 阿 克 斯 的 后 代。为 一 个 天 生 的 猎 人 和 隐 藏 大 师，你 很 快 就 被 征 召 加 入 了 众 多 同 类 部 落 中 的 一 员，这 些 部 落 守 卫 着 隐 藏 在 树 枝 和 藤 蔓 之 间 的 魔 法 屏 障 的 边 界，然 而 你 独 特 的 产 卵 却 比 眼 睛 所 能 看 到 的 要 多，因 为 这 是 上 帝 所 偏 爱 的 
qstr_The_event_of_the_spa|你 所 参 与 的 产 卵 事 件 被 尊 为 奇 迹 般 的 事 件，因 为 数 千 年 来，在 瓦 特 尔 神 庙 的 废 墟 中 没 有 新 生 命 诞 生，事 实 上，领 导 这 座 曾 经 伟 大 的 圣 殿 城 再 殖 民 和 新 觉 醒 的 牧 师 们 认 为 这 是 一 个 古 老 诅 咒 的 解 除 和 他 们 努 力 的 成 功。在 你 完 成 成 长 周 期 后 不 久，你 和 其 他 新 出 生 的 灵 蜥 就 加 入 了 重 建 队 伍，学 习 了 建 造 和 雕 刻 宏 伟 建 筑 的 复 杂 艺 术，这 些 建 筑 装 饰 了 你 的 人 民 的 伟 大 城 市。你 的 快 速 学 习 技 能 和 对 你 的 手 艺 的 快 速 掌 握，显 然 有 一 个 超 自 然 的 性 质 起 作 用，因 为 你 在 孵 化 时 被 上 帝 触 摸 了 
qstr_Your_father_taught_y|你 父 亲 教 导 你 如 何 对 抗 混 沌 的 信 念 和 奉 献 精 神，培 养 你 成 为 一 名 自 给 自 足，充 满 禁 欲 主 义 和 如 恶 狼 般 凶 猛 的 勇 士。
qstr_Loyalty_and_obedienc|忠 诚 和 服 从 对 你 的 父 亲 来 说 意 味 着 一 切，他 曾 经 是 政 府 的 秘 密 警 察，帮 助 沙 皇 消 灭 那 些 内 在 的 敌 人。你 经 常 看 到 他 辨 别 那 些 狡 猾 的 客 人，引 诱 他 们 进 入 危 险 的 对 话，阅 读 他 们 的 每 一 个 手 势。
qstr_As_part_of_Kislev_s_|作 为 基 斯 里 夫 的 世 袭 贵 族，你 父 亲 散 发 出 的 魅 力，残 忍，冷 酷 和 温 暖 很 长 时 间 一 直 影 响 着 周 围 的 子 民。没 有 任 何 严 酷 的 冬 季 或 北 边 的 部 落 能 够 打 败 他，他 永 远 坚 定 和 乐 观 的 脸 让 敌 人 直 逼 死 亡。
qstr_Dark_humor_and_a_bel|黑 色 幽 默 和 一 个 大 大 的 啤 酒 肚 是 你 父 亲 生 存 的 秘 诀，他 从 寒 冷 的 季 节 保 护 你 的 家 庭 不 受 未 知 恐 惧 的 威 胁。在 遥 远 的 北 方，深 蓝 色 的 夜，你 唯 一 可 以 相 信 的 是 嘶 嘶 的 雪。库 萨 尔 骑 兵 奔 袭 过 的 雪 地 被 鲜 血 染 红，命 运 的 变 故 让 你 捡 起 了 父 亲 的 佩 剑。
qstr_Your_father_taught_yo|父 亲 告 诉 你，力 量 才 是 通 往 真 理 的 道 路。在 无 边 草 原 上，唯 一 会 回 响 的，是 夺 取 所 需 之 物 的 意 志。农 民 与 城 镇 居 民 已 经 听 不 见 这 种 回 响，所 以 你 有 责 任 提 醒 他 们：让 你 的 战 吼 与 他 们 的 惨 叫 再 次 填 满 空 旷 天 地。
qstr_Your_father_was_a_hu|父 亲 是 一 名 猎 人，也 是 对 抗 北 境 严 酷 自 然 的 生 存 大 师。每 当 你 以 为 狂 风 呼 啸 得 更 加 凶 猛 时，他 总 能 平 安 回 到 炉 火 旁。他 教 你 分 辨 雪 的 各 种 落 法、冻 湖 的 秘 密 与 厄 孙 造 物 的 习 性；它 们 穿 行 荒 原，不 只 为 生 存，也 为 独 自 沉 浸 在 自 然 冰 冷 核 心 的 喜 悦。
qstr_Your_early_youth_was|你 的 青 少 年 是 在 帮 助 母 亲 做 饭，维 护 火 灾，修 理 房 子 中 度 过 的。毕 竟，家 是 你 唯 一 的 避 难 所，抵 御 愤 怒 神 灵 意 志 的 港 湾。
qstr_As_a_child_you_once_|孩 提 时，你 梦 见 一 头 巨 大 白 熊 与 山 峰 搏 斗 并 取 得 胜 利，带 着 千 百 道 骇 人 伤 疤 威 严 地 立 在 你 面 前。你 对 苍 白 地 平 线 感 到 亲 切，也 深 深 同 情 北 方 的 动 物—— 它 们 与 你 如 此 相 似，却 又 如 此 不 同。你 喜 欢 跟 随 游 牧 的 神 秘 人 士，尽 管 村 中 男 人 皱 眉、女 人 摇 头 表 示 不 满。
qstr_Amazed_at_the_power_|你 惊 叹 于 冰 女 巫 随 心 塑 造 整 片 冰 原 的 伟 力，因 而 投 入 一 个 冰 女 巫 集 会 麾 下，学 习 寒 冬 的 神 圣 本 质 与 其 炽 烈 如 火 的 激 情。由 于 缺 乏 魔 法 天 赋，你 只 能 研 习 知 识、服 侍 她 们，处 理 稀 有 材 料，并 在 漫 长 岁 月 中 渐 渐 理 解 冰 之 奥 秘。
qstr_The_growth_of_your_v|你 村 庄 的 成 长 不 仅 反 映 了 女 沙 皇 的 秩 序 愿 景，也 反 映 了 其 领 袖 阿 塔 曼 的 专 长。被 权 威 的 扩 展 所 累，阿 塔 曼 组 建 了 一 个 小 型 顾 问 团，你 成 为 了 其 中 一 员，或 许 得 益 于 绝 望 和 运 气 各 半。你 最 终 理 解，权 力 始 于 边 疆，终 于 混 沌 的 威 胁。
qstr_After_losing_everyth|在 一 场 可 怕 的 冰 风 暴 中 失 去 一 切 后，你 连 续 数 日 跟 随 一 支 卡 扎 克 掠 夺 队。他 们 从 一 开 始 就 注 意 到 了 你，但 意 识 到 一 个 迷 失、饥 饿 的 年 轻 基 斯 莱 夫 人 对 他 们 的 团 体 没 有 危 险。几 周 后，你 靠 残 羹 和 根 茎 幸 存 下 来，他 们 最 终 派 出 一 名 战 士 挑 战 你，测 试 你 的 勇 气。你 的 灵 魂 终 于 知 晓 了 寒 冷 的 真 正 寂 静，你 猛 烈 地 击 败 了 敌 人，在 队 伍 其 余 人 眼 中 显 得 像 一 股 不 可 战 胜 的 自 然 力 量。他 们 接 纳 你 为 其 中 一 员，让 你 暂 时 与 他 们 一 起 骑 行 到 世 界 的 遥 远 角 落。
qstr_You_were_sworn_in_to|你 宣 誓 效 忠 于 一 名 德 鲁 日 纳，一 位 当 地 小 贵 族，他 教 你 基 斯 莱 夫 贵 族 战 士 的 方 式。你 逐 渐 理 解 了 女 沙 皇 的 意 志，当 你 协 助 德 鲁 日 纳 所 代 表 的 剑 与 盾，刺 穿 黑 暗，让 伟 大 的 寂 静 白 色 永 远 统 治 时，你 对 她 的 土 地 法 律 的 忠 诚 变 得 无 可 争 议。
qstr_Your_father_was_one_|你 的 父 亲 是 部 落 中 最 强 的 人 之 一，^当 他 在 战 场 上 他 杀 死 了 他 的 第 一 个 牺 牲 品 就 感 觉 到 他 神 的 呼 召。在 你 的 部 落 都 受 到 每 个 人 极 大 的 尊 重，他 是 鼓 舞 了 你 和 其 他 年 轻 族 人 ^，你 从 他 身 上 学 到 了 很 多 东 西，直 到 他 离 开 了 强 大 的 战 团，再 也 没 有 回 来。
qstr_Your_father_rode_a_g|你 的 父 亲 骑 着 一 辆 巨 大 的 战 车 投 入 战 斗，战 车 带 有 八 英 尺 长 的 镰 刀 和 铁 制 轮 子，铁 质 如 此 坚 硬，它 们 会 压 碎 任 何 从 下 面 经 过 的 人。战 车 由 两 匹 你 见 过 的 最 大 的 马 匹 拉 动，他 在 战 场 上 的 功 绩 使 他 在 所 有 部 落 中 拥 有 最 伟 大 的 荣 誉 之 一。
qstr_Your_father_was_a_dr|你 的 父 亲 是 个 酒 鬼，对 战 场 上 的 防 守 与 自 保 一 窍 不 通。他 总 会 在 开 战 前 喝 得 烂 醉，随 后 一 头 撞 向 敌 军 最 强 大 的 部 队。他 居 然 能 活 到 留 下 后 代，本 身 就 是 个 奇 迹。
qstr_Your_father_was_a_ma|你 的 父 亲 是 个 很 好 的 人，谁 都 喜 欢 他，他 总 是 保 持 本 色，他 不 像 其 他 的 北 方 人 一 样 粗 鲁，相 反 他 是 个 很 安 静 的 人。他 作 为 伐 木 工 凭 着 过 人 的 力 量 和 毅 力 日 以 继 夜 的 为 混 沌 海 军 建 造 着 战 舰。
qstr_Your_father_was_an_a|你 的 父 亲 是 个 在 深 山、溶 洞 和 地 牢 里 不 停 歇 的 搜 索 被 遗 忘 的 宝 藏 的 野 蛮 人，^他 带 领 着 一 支 由 精 灵、矮 人 和 巫 师 组 成 的 四 人 小 队。^在 他 曾 在 你 们 家 族 所 在 的 堡 垒 中 的 地 下 格 斗 打 败 兽 人 酋 长 高 嘎 特、死 灵 法 师 冈 瑟 ·兰 斯 切 和 大 牛 头 王。
qstr_Your_father_was_the_c|你 的 父 亲 是 一 个 大 型 掠 夺 者 部 落 的 首 领，不 断 骚 扰 帝 国，并 且 总 是 最 先 响 应 战 役 号 召 的 人 之 一。他 近 七 英 尺 高，强 壮 如 牛，挥 舞 着 他 信 赖 的 斧 头，一 击 就 能 将 人 劈 成 两 半。他 对 自 己 的 诺 斯 卡 马 匹 感 到 非 常 自 豪，并 在 你 刚 会 走 路 时 就 教 你 骑 马。
qstr_Your_father_was_a_te|你 的 父 亲 是 名 在 和 平 时 期 镇 守 神 庙 的 神 庙 守 卫。如 果 军 队 需 要，作 为 神 庙 守 卫 的 他 们 也 会 出 征 敌 国，因 为 他 们 勇 猛 得 无 人 可 敌。如 果 军 队 里 有 神 庙 守 卫 他 将 会 用 生 命 守 护 沙 历 士 秘 法 祭 司。
qstr_Lizardmen_don_t_get_|来 自 露 斯 契 亚 的 蜥 蜴 人 没 有 获 得 应 有 的 尊 重 之 外，许 多 其 他 种 族 认 为 他 们 愚 蠢 和 军 事 力 量 贫 乏，但 这 是 完 全 不 符 的，你 的 父 亲 是 梭 洛 士 大 军 中 的 军 事 战 略 大 师，以 堪 称 艺 术 的 战 略 给 以 旧 世 界 不 同 种 族 军 团 痛 击。
qstr_Your_father_was_an_o|你 的 父 亲 是 一 名 老 血，拥 有 一 支 超 过 二 百 五 十 名 士 兵 的 个 人 忠 诚 军 队。他 与 蜥 蜴 人 军 队 有 着 悠 久 的 历 史，并 且 是 派 往 旧 世 界 击 败 混 沌 的 露 丝 契 亚 入 侵 部 队 中 的 主 要 老 血 之 一。他 在 克 拉 卡 · 多 登 和 普 拉 格 之 间 土 地 上 的 三 场 伟 大 战 役 之 一 中 阵 亡，但 他 的 军 队 为 了 纪 念 他 赢 得 了 战 斗，然 后 将 他 的 尸 体 带 回 露 丝 契 亚 举 行 盛 大 仪 式。
qstr_{reg3?daughter:son}|{reg3?女 儿 :儿 子 }
qstr_Your_father_was_part|你 的 父 亲 是 露 丝 契 亚 入 侵 部 队 中 一 支 精 锐 骑 兵 单 位 的 一 员。他 极 其 坚 韧 和 耐 用，通 常 在 战 斗 到 最 后 几 人 时 是 最 后 一 个 未 被 击 败 的 人。他 曾 经 在 一 次 全 速 冲 锋 中，被 一 名 神 选 战 士 用 恐 虐 斧 头 正 面 击 中 胸 部，不 仅 幸 存 下 来，而 且 转 身 用 你 的 长 矛 刺 穿 了 那 名 战 士。花 了 三 个 小 时 才 将 斧 头 从 你 父 亲 的 身 体 中 取 出，这 个 故 事 伴 随 了 他 的 整 个 军 事 生 涯。
qstr_Lustria_is_full_of_a|露 丝 契 亚 充 满 了 令 人 惊 叹 的 建 筑，从 大 金 字 塔 到 巨 图 腾 柱 和 华 丽 装 饰 的 大 门。你 的 父 亲 是 伟 大 的 建 筑 师 之 一，他 理 解 神 祇，并 理 解 露 丝 契 亚 建 筑 中 每 个 细 节 的 关 键 重 要 性。
qstr_Your_father_was_a_kr|你 的 父 亲 是 一 名 训 练 师，他 总 在 出 生 几 周 后 接 手，并 通 过 严 格 的 训 练 计 划 抚 养 它 们，为 它 们 在 战 场 上 的 未 来 需 求 做 准 备，并 确 保 它 们 尽 可 能 容 易 沟 通。
qstr_{reg3?daughter:man}|{reg3?女 儿 :儿 子 }
qstr_{reg3?woman:man}|{reg3?女 人 :男 人 }
qstr_The_rocky_terrain_of|黑 山 的 岩 石 地 形 是 你 的 孢 子 落 下 的 地 方。周 围 的 冷 石 似 乎 过 度 发 育 了 你 的 肌 肉，使 它 们 比 正 常 更 大 更 强 壮。（我 要 成 为 一 个 强 壮 的！）你 在 真 菌 荚 内 想 道，感 觉 四 肢 收 缩 发 出 爆 裂 声。一 旦 离 开 荚 子，你 加 入 了 一 群 绿 皮 掠 夺 者，成 为……
qstr_Your_spores_were_pla|你 的 孢 子 被 种 植 在 黑 暗 之 地 的 黑 化 土 壤 中，这 是 混 沌 矮 人 的 领 地，你 的 创 造 者 的 土 地。在 你 的 真 菌 荚 内，一 个 完 美 的 战 争 机 器 正 在 生 成。当 你 的 成 熟 过 程 结 束 时，你 打 破 了 蘑 菇 子 宫，发 出 一 声 强 大 的 呼 喊。（哇 啊 啊 啊 啊 啊 啊 啊 啊 啊！）。一 个 黑 兽 人 诞 生 了。加 入 你 亲 族 的 一 支 战 帮，你 作 为……前 往 旧 世 界。
qstr_The_heat_of_the_Badl|恶 地 的 热 量，被 地 下 热 池 放 大，确 实 对 你 的 繁 殖 产 生 了 影 响，缩 小 了 你 的 大 脑，使 其 更 像 史 奎 格 的 大 脑 而 不 是 兽 人 的。然 而，你 在 智 力 上 失 去 的，却 在 体 力 上 得 到 了 弥 补。一 个 本 能 驱 动 的 存 在，准 备 漫 游 大 地，一 个 野 蛮 兽 人。离 开 你 的 荚 子，你 跟 随 亲 族 的 熟 悉 气 味 到 一 个 洞 穴，那 里 居 住 着 一 群 野 蛮 兽 人。被 他 们 接 受 后，你 开 始 了 你 的 新 生 活，作 为……
